city,neighbourhood,min,max,mean,bedrooms,level,neighbourhood-level
SF,Visitacion Valley,3.555348061,6.214608098,4.674289409,1.108108108,4.218261174,4
NYC,Wakefield,3.688879454,6.109247583,4.494886646,1,4.494886646,4
NYC,Washington Heights,3.044522438,7.150701458,4.334558123,1.11634349,3.882817574,3
Chicago,Washington Heights,3.044522438,7.150701458,4.334558123,1.11634349,3.882817574,3
DC,Washington Highlands,4.382026635,5.192956851,4.803479846,1.5,3.202319897,1
Chicago,Washington Park,3.555348061,4.304065093,3.840537841,1,3.840537841,2
Boston,Watertown,5.293304825,5.293304825,5.293304825,1,5.293304825,4
LA,Watts,3.555348061,5.030437921,4.273297496,1.666666667,2.563978497,1
DC,Wesley Heights,4.317488114,6.184148891,5.000172329,2.125,2.353022272,1
LA,West Adams,2.708050201,6.070737728,4.221574891,1.102362205,3.829571508,2
LA,West Athens,5.135798437,6.052089169,5.593943803,5,1.118788761,1
NYC,West Brighton,3.295836866,5.187385806,4.188106376,1.318181818,3.177184147,1
LA,West Covina,3.36729583,6.167516491,4.397574514,1.944444444,2.26160975,1
Chicago,West Elsdon,3.36729583,3.433987204,3.400826805,1,3.400826805,1
Boston,West End,3.465735903,6.684611728,5.225683992,1.157894737,4.51309072,4
DC,West End,3.465735903,6.684611728,5.225683992,1.157894737,4.51309072,4
NYC,West Farms,3.583518938,4.605170186,4.250197058,1,4.250197058,4
LA,West Hills,3.401197382,5.940171253,4.472161922,1.536585366,2.910454584,1
LA,West Hollywood,3.218875825,7.598399329,4.91146822,1.260631001,3.896039535,3
Chicago,West Lawn,3.496507561,3.784189634,3.583354561,0.75,4.777806082,4
Chicago,West Loop/Greektown,2.302585093,6.396929655,4.840850052,1.18,4.102415298,3
LA,West Los Angeles,3.295836866,6.618738984,4.707046562,1.149812734,4.093750593,3
SF,West Portal,4.234106505,5.298317367,4.759170066,1.363636364,3.490058048,1
LA,West Puente Valley,3.688879454,4.700480366,3.935828347,2.2,1.789012885,1
Chicago,West Ridge,2.708050201,5.38907173,3.952502126,1.405405405,2.812357282,1
Boston,West Roxbury,3.496507561,5.863631176,4.526641358,1.425531915,3.175405132,1
Chicago,West Town,3.784189634,3.784189634,3.784189634,1,3.784189634,2
Chicago,West Town/Noble Square,3.401197382,6.476972363,4.708916525,1.679389313,2.803945749,1
NYC,West Village,3.828641396,7.467371067,5.359300683,1.061157025,5.050431329,4
NYC,Westchester Village,3.912023005,4.094344562,4.003183784,0,inf,4
LA,Westchester/Playa Del Rey,3.401197382,7.309881486,4.883649316,1.464788732,3.334029822,1
NYC,Westerleigh,4.094344562,7.313220387,4.906833864,1.8,2.726018813,1
SF,Western Addition/NOPA,3.828641396,7.313220387,5.222117948,1.340909091,3.894460843,3
LA,Westlake,2.708050201,6.684611728,4.386212842,0.922222222,4.756134407,4
LA,Westmont,3.688879454,4.442651256,4.097247771,1.8,2.276248762,1
LA,Westside,3.465735903,7.313220387,4.710034385,1.24375,3.78696232,2
LA,Westwood,2.708050201,7.495541944,4.845637653,1.311538462,3.694621084,2
NYC,Whitestone,3.688879454,5.241747015,4.394984508,1.285714286,3.418321284,1
